species,length_cm,length_ref,mass_grams,phylo_distance_diet_model_my,venom_yield_mg,venom_yield_ref,environment,constriction,Env_refs,dimensions,ld50_mg,ld50_method,ld50_model,ld50_ref,fishes,inverts,amphibians,reptiles,birds,eggs,mammals,egg.bin,diet_refs,prey_size_g
Aipysurus_duboisii,120,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",391,400.1,0.43,"Minton S.A. (1983) Lethal toxicity of venoms of snakes from the Coral Sea. Toxicon, Vol. 21, No. 6, pp 901-902.",aquatic,no,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,0.04,sc,mouse,"Mackessy, S.P. and Tu, A.T., 1993. Biology of the sea snakes and biochemistry of their venoms. Toxin-related Diseases: Poisons Originating from Plants, Animals and Spoilage. New Delhi: Oxford & IBH Publishing Co, pp.305-51.",100,0,0,0,0,0,0,no,"Voris, H.K. and Voris, H.H., 1983. Feeding strategies in marine snakes: an analysis of evolutionary, morphological, behavioral and ecological relationships. American Zoologist, 23(2), pp.411-425.",NA
Aipysurus_eydouxii,110,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",317,767,0.6,"Gopalakrishnakone, P., Wollberg, M. and Kochva, E., 1994. The venom apparatus of sea snakes. Sea snake toxinology, pp.37-65.",aquatic,no,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,7.85,iv,mouse,"Mackessy, S.P. and Tu, A.T., 1993. Biology of the sea snakes and biochemistry of their venoms. Toxin-related Diseases: Poisons Originating from Plants, Animals and Spoilage. New Delhi: Oxford & IBH Publishing Co, pp.305-51.",0,4,0,0,0,94,0,yes,"Allen, W.L., Baddeley, R., Scott-Samuel, N.E. and Cuthill, I.C., 2013. The evolution and function of pattern diversity in snakes. Behavioral Ecology, 24(5), pp.1237-1250..and.Godek",12.9
Aipysurus_laevis,200,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1338,442.2,10.5,"Gopalakrishnakone, P., Wollberg, M. and Kochva, E., 1994. The venom apparatus of sea snakes. Sea snake toxinology, pp.37-65.",aquatic,yes,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,0.264,sc,mouse,"Mackessy, S.P. and Tu, A.T., 1993. Biology of the sea snakes and biochemistry of their venoms. Toxin-related Diseases: Poisons Originating from Plants, Animals and Spoilage. New Delhi: Oxford & IBH Publishing Co, pp.305-51.",89,11,0,0,0,0,0,no,"Voris, H.K. and Voris, H.H., 1983. Feeding strategies in marine snakes: an analysis of evolutionary, morphological, behavioral and ecological relationships. American Zoologist, 23(2), pp.411-425.",NA
Aipysurus_laevis,200,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1338,442.2,10.5,"Gopalakrishnakone, P., Wollberg, M. and Kochva, E., 1994. The venom apparatus of sea snakes. Sea snake toxinology, pp.37-65.",aquatic,yes,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,0.18,iv,mouse,"Mackessy, S.P. and Tu, A.T., 1993. Biology of the sea snakes and biochemistry of their venoms. Toxin-related Diseases: Poisons Originating from Plants, Animals and Spoilage. New Delhi: Oxford & IBH Publishing Co, pp.305-51.",89,11,0,0,0,0,0,no,"Voris, H.K. and Voris, H.H., 1983. Feeding strategies in marine snakes: an analysis of evolutionary, morphological, behavioral and ecological relationships. American Zoologist, 23(2), pp.411-425.",NA
Aipysurus_laevis,200,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1338,442.2,10.5,"Gopalakrishnakone, P., Wollberg, M. and Kochva, E., 1994. The venom apparatus of sea snakes. Sea snake toxinology, pp.37-65.",aquatic,yes,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,0.09,im,mouse,"Mackessy, S.P. and Tu, A.T., 1993. Biology of the sea snakes and biochemistry of their venoms. Toxin-related Diseases: Poisons Originating from Plants, Animals and Spoilage. New Delhi: Oxford & IBH Publishing Co, pp.305-51.",89,11,0,0,0,0,0,no,"Voris, H.K. and Voris, H.H., 1983. Feeding strategies in marine snakes: an analysis of evolutionary, morphological, behavioral and ecological relationships. American Zoologist, 23(2), pp.411-425.",NA
Aipysurus_laevis,200,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1338,86.1,10.5,"Gopalakrishnakone, P., Wollberg, M. and Kochva, E., 1994. The venom apparatus of sea snakes. Sea snake toxinology, pp.37-65.",aquatic,yes,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,0.1,im,fish,"Gopalakrishnakone, P., Wollberg, M. and Kochva, E., 1994. The venom apparatus of sea snakes. Sea snake toxinology, pp.37-65.",89,11,0,0,0,0,0,no,"Voris, H.K. and Voris, H.H., 1983. Feeding strategies in marine snakes: an analysis of evolutionary, morphological, behavioral and ecological relationships. American Zoologist, 23(2), pp.411-425.",NA
Alsophis_portoricensis,114,"de Queiroz, A. & Rodrêguez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006).",179,296.6,5.9,"Weinstein, S.A., Warrell, D.A., White, J. and Keyler, D.E., 2011. –Venomous Bites from Non-Venomous Snakes: A Critical Analysis of Risk and Management of –Colubrid Snake Bites. Elsevier.",terrestrial,yes,"de Queiroz, A. & Rodrêguez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006).",1,2.1,ip,mouse,"Weinstein, S.A., Warrell, D.A., White, J. and Keyler, D.E., 2011. –Venomous Bites from Non-Venomous Snakes: A Critical Analysis of Risk and Management of –Colubrid Snake Bites. Elsevier.",0,0,8.7,89.3,0,0,0,no,"RodrÍguez-Robles, J.A. and Leal, M., 1993. Effects of prey type on the feeding behavior of Alsophis portoricensis (Serpentes: Colubridae). Journal of Herpetology, pp.163-168.; Henderson, R.W. and Sajdak, R.A., 1996. Diets of West Indian racers (Colubridae: Alsophis): composition and biogeographic implications. Contributions to West Indian herpetology: a tribute to Albert Schwartz, pp.327-338.",NA
Alsophis_portoricensis,114,"de Queiroz, A. & Rodrêguez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006).",179,32.3,5.9,"Weinstein, S.A., Warrell, D.A., White, J. and Keyler, D.E., 2011. –Venomous Bites from Non-Venomous Snakes: A Critical Analysis of Risk and Management of –Colubrid Snake Bites. Elsevier.",terrestrial,yes,"de Queiroz, A. & Rodrêguez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006).",1,3.8,ip,lizard,"Weinstein, S.A., Warrell, D.A., White, J. and Keyler, D.E., 2011. –Venomous Bites from Non-Venomous Snakes: A Critical Analysis of Risk and Management of –Colubrid Snake Bites. Elsevier.",0,0,8.7,89.3,0,0,0,no,"RodrÍguez-Robles, J.A. and Leal, M., 1993. Effects of prey type on the feeding behavior of Alsophis portoricensis (Serpentes: Colubridae). Journal of Herpetology, pp.163-168.; Henderson, R.W. and Sajdak, R.A., 1996. Diets of West Indian racers (Colubridae: Alsophis): composition and biogeographic implications. Contributions to West Indian herpetology: a tribute to Albert Schwartz, pp.327-338.",NA
Astrotia_stokesii,200,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1338,400.1,31.3,"Gopalakrishnakone, P., Wollberg, M. and Kochva, E., 1994. The venom apparatus of sea snakes. Sea snake toxinology, pp.37-65.",aquatic,no,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,0.26,iv,mouse,"Mackessy, S.P. and Tu, A.T., 1993. Biology of the sea snakes and biochemistry of their venoms. Toxin-related Diseases: Poisons Originating from Plants, Animals and Spoilage. New Delhi: Oxford & IBH Publishing Co, pp.305-51.",100,0,0,0,0,0,0,no,"Voris, H.K. and Voris, H.H., 1983. Feeding strategies in marine snakes: an analysis of evolutionary, morphological, behavioral and ecological relationships. American Zoologist, 23(2), pp.411-425.",NA
Astrotia_stokesii,200,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1338,400.1,31.3,"Gopalakrishnakone, P., Wollberg, M. and Kochva, E., 1994. The venom apparatus of sea snakes. Sea snake toxinology, pp.37-65.",aquatic,no,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,0.3,sc,mouse,"Mackessy, S.P. and Tu, A.T., 1993. Biology of the sea snakes and biochemistry of their venoms. Toxin-related Diseases: Poisons Originating from Plants, Animals and Spoilage. New Delhi: Oxford & IBH Publishing Co, pp.305-51.",100,0,0,0,0,0,0,no,"Voris, H.K. and Voris, H.H., 1983. Feeding strategies in marine snakes: an analysis of evolutionary, morphological, behavioral and ecological relationships. American Zoologist, 23(2), pp.411-425.",NA
Astrotia_stokesii,200,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1338,400.1,31.3,"Gopalakrishnakone, P., Wollberg, M. and Kochva, E., 1994. The venom apparatus of sea snakes. Sea snake toxinology, pp.37-65.",aquatic,no,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,3.5,im,mouse,"Mackessy, S.P. and Tu, A.T., 1993. Biology of the sea snakes and biochemistry of their venoms. Toxin-related Diseases: Poisons Originating from Plants, Animals and Spoilage. New Delhi: Oxford & IBH Publishing Co, pp.305-51.",100,0,0,0,0,0,0,no,"Voris, H.K. and Voris, H.H., 1983. Feeding strategies in marine snakes: an analysis of evolutionary, morphological, behavioral and ecological relationships. American Zoologist, 23(2), pp.411-425.",NA
Astrotia_stokesii,200,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1338,0,31.3,"Gopalakrishnakone, P., Wollberg, M. and Kochva, E., 1994. The venom apparatus of sea snakes. Sea snake toxinology, pp.37-65.",aquatic,no,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,0.11,im,fish,"Gopalakrishnakone, P., Wollberg, M. and Kochva, E., 1994. The venom apparatus of sea snakes. Sea snake toxinology, pp.37-65.",100,0,0,0,0,0,0,no,"Voris, H.K. and Voris, H.H., 1983. Feeding strategies in marine snakes: an analysis of evolutionary, morphological, behavioral and ecological relationships. American Zoologist, 23(2), pp.411-425.",NA
Atractaspis_bibronii,63,"Branch, W. R. Field guide to snakes and other reptiles of southern Africa.  (Struik, 1998). ",41,240.8,1,"Branch, W.R., 1981. Venom yields from three species of side-biting snakes (Genus Atractaspis, Colubridae). Toxicon, 19(2), pp.271-277.",terrestrial,no,"Spawls, S., Branch, B. & Branch, W. R. The dangerous snakes of Africa: natural history, species directory, venoms, and snakebite.  (Ralph Curtis Pub, 1995). ",1,0.06,iv,mouse,"Warrell, D.A., 1985. Warrell, D.A., 1985. The burrowing asps genus Atractaspis, a tropical group of venomous snakes: Kochva, E., Wollberg, Z. and Golani, I.(Department of Zoology, Tel Aviv University, Israel). Toxicon, 23(4), p.623.: Kochva, E., Wollberg, Z. and Golani, I.(Department of Zoology, Tel Aviv University, Israel). Toxicon, 23(4), p.623.",0,0,2.8,75.2,0,1,21.9,yes,"Shine, R., Branch, W.R., Harlow, P.S., Webb, J.K. and Shine, T., 2006. Biology of burrowing asps (Atractaspididae) from Southern Africa. Copeia, 2006(1), pp.103-115.",23.52
Atractaspis_microlepidota,107,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",182,296,8,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.",terrestrial,no,"Spawls, S., Branch, B. & Branch, W. R. The dangerous snakes of Africa: natural history, species directory, venoms, and snakebite.  (Ralph Curtis Pub, 1995). ",1,0.06,iv,mouse,"Warrell, D.A., 1985. Warrell, D.A., 1985. The burrowing asps genus Atractaspis, a tropical group of venomous snakes: Kochva, E., Wollberg, Z. and Golani, I.(Department of Zoology, Tel Aviv University, Israel). Toxicon, 23(4), p.623.: Kochva, E., Wollberg, Z. and Golani, I.(Department of Zoology, Tel Aviv University, Israel). Toxicon, 23(4), p.623.",0,0,0,100,0,0,0,no,"Shine, R., Branch, W.R., Harlow, P.S., Webb, J.K. and Shine, T., 2006. Biology of burrowing asps (Atractaspididae) from Southern Africa. Copeia, 2006(1), pp.103-115.",6
Austrelaps_superbus,170,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",905,316.4,22,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.; Eds. J. Meier and J. White (1995) Handbook of Clinical Toxicology of Animal Venoms and Poisons. CRC Press, Boca Raton; Garnet J.R. (1970) Venomous Australian Animals Dangerous to Man. Commonwealth Serum Laboratories, Parkville, Victoria. ",terrestrial,no,"Allen, W.L., Baddeley, R., Scott-Samuel, N.E. and Cuthill, I.C., 2013. The evolution and function of pattern diversity in snakes. Behavioral Ecology, 24(5), pp.1237-1250.",1,0.56,sc,mouse,"Broad, A. J., Sutherland, S. K., Coulter, A.R. (1979). The lethality in mice of dangerous Australian and other snake venoms. Toxicon (17). 664-667. 11.",0,0,35,63,0,0,2,no,"Shine, R., 1987. Ecological ramifications of prey size: food habits and reproductive biology of Australian copperhead snakes (Austrelaps, Elapidae). Journal of Herpetology, pp.21-28.",5.397235
Bitis_gabonica,183,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",3025,27,537,"Minton S.A. and Minton M.R. (1971) Venomous Reptiles. London : George Allen & Unwin Ltd; Phelps T. (1981) Poisonous Snakes. Poole : Blandford Press.; Broadley, D.G. and Cock, E.V., 1975. Snakes of Rhodesia. Longman Rhodesia.",terrestrial,no,"Spawls, S., Branch, B. & Branch, W. R. The dangerous snakes of Africa: natural history, species directory, venoms, and snakebite.  (Ralph Curtis Pub, 1995). ",1,2.9,iv,mouse,"Brown JH. 1973. Toxicology and Pharmacology of Venoms from Poisonous Snakes. Springfield,",0,0,0.5,1,7.5,0,91,no,"Luiselli, L. and Akani, G.C., 2003. Diet of sympatric Gaboon vipers (Bitis gabonica) and nose-horned vipers (Bitis nasicornis) in southern Nigeria: original article. African Journal of Herpetology, 52(2), pp.101-106.; Warner, J.K., 2009. Conservation biology of the gaboon adder (Bitis gabonica) in South Africa (Doctoral dissertation).",697.1701
Bitis_gabonica,183,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",3025,27,537,"Minton S.A. and Minton M.R. (1971) Venomous Reptiles. London : George Allen & Unwin Ltd; Phelps T. (1981) Poisonous Snakes. Poole : Blandford Press.; Broadley, D.G. and Cock, E.V., 1975. Snakes of Rhodesia. Longman Rhodesia.",terrestrial,no,"Spawls, S., Branch, B. & Branch, W. R. The dangerous snakes of Africa: natural history, species directory, venoms, and snakebite.  (Ralph Curtis Pub, 1995). ",1,5.5,sc,mouse,"Brown JH. 1973. Toxicology and Pharmacology of Venoms from Poisonous Snakes. Springfield,",0,0,0.5,1,7.5,0,91,no,"Luiselli, L. and Akani, G.C., 2003. Diet of sympatric Gaboon vipers (Bitis gabonica) and nose-horned vipers (Bitis nasicornis) in southern Nigeria: original article. African Journal of Herpetology, 52(2), pp.101-106.; Warner, J.K., 2009. Conservation biology of the gaboon adder (Bitis gabonica) in South Africa (Doctoral dissertation).",697.1701
Bitis_gabonica,183,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",3025,27,537,"Minton S.A. and Minton M.R. (1971) Venomous Reptiles. London : George Allen & Unwin Ltd; Phelps T. (1981) Poisonous Snakes. Poole : Blandford Press.; Broadley, D.G. and Cock, E.V., 1975. Snakes of Rhodesia. Longman Rhodesia.",terrestrial,no,"Spawls, S., Branch, B. & Branch, W. R. The dangerous snakes of Africa: natural history, species directory, venoms, and snakebite.  (Ralph Curtis Pub, 1995). ",1,2,ip,mouse,"Brown JH. 1973. Toxicology and Pharmacology of Venoms from Poisonous Snakes. Springfield,",0,0,0.5,1,7.5,0,91,no,"Luiselli, L. and Akani, G.C., 2003. Diet of sympatric Gaboon vipers (Bitis gabonica) and nose-horned vipers (Bitis nasicornis) in southern Nigeria: original article. African Journal of Herpetology, 52(2), pp.101-106.; Warner, J.K., 2009. Conservation biology of the gaboon adder (Bitis gabonica) in South Africa (Doctoral dissertation).",697.1701
Bitis_nasicornis,123,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",952,85.4,138,"Mirtschin, P.J., Dunstan, N., Hough, B., Hamilton, E., Klein, S., Lucas, J., Millar, D., Madaras, F. and Nias, T., 2006. Venom yields from Australian and some other species of snakes. Ecotoxicology, 15(6), pp.531-538.",terrestrial,no,"Spawls, S., Branch, B. & Branch, W. R. The dangerous snakes of Africa: natural history, species directory, venoms, and snakebite.  (Ralph Curtis Pub, 1995). ",1,1.06,iv,mouse,"Buecherl, W., and E.E. Buckley  eds. 1968. Venomous Animals and Their Venoms, 3 vols., New York, Academic Press, Inc., 1,437",0,0,23,0,0,0,77,no,"Luiselli, L. and Akani, G.C., 2003. Diet of sympatric Gaboon vipers (Bitis gabonica) and nose-horned vipers (Bitis nasicornis) in southern Nigeria: original article. African Journal of Herpetology, 52(2), pp.101-106.; Warner, J.K., 2009. Conservation biology of the gaboon adder (Bitis gabonica) in South Africa (Doctoral dissertation).",375.5021
