species,length_cm,length_ref,mass_grams,phylo_distance_diet_model_mya,vol.v,Ven_ref_fixed,Ven_refs,environment,constriction,Env_refs,dimensions,ld50_mg,ld50_method,ld50_model,ld50_ref,ld50_ref_fix,fishes,inverts,amphibians,reptiles,birds,eggs,mammals,egg.bin,diet_refs,prey_size_g
Aipysurus_duboisii,120,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",391,400.1,0.43,"Minton S.A. (1983) Lethal toxicity of venoms of snakes from the Coral Sea. Toxicon, Vol. 21, No. 6, pp 901-902.",average.vol.from.Minton.1983.is.0.43mg.see.http://www.toxinology.com.no.max.ref,aquatic,no,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,0.04,sc,mouse,Mackessy and Tu 1993,"Mackessy, S.P. and Tu, A.T., 1993. Biology of the sea snakes and biochemistry of their venoms. Toxin-related Diseases: Poisons Originating from Plants, Animals and Spoilage. New Delhi: Oxford & IBH Publishing Co, pp.305-51.",100,0,0,0,0,0,0,no,"Voris, H.K. and Voris, H.H., 1983. Feeding strategies in marine snakes: an analysis of evolutionary, morphological, behavioral and ecological relationships. American Zoologist, 23(2), pp.411-425.",NA
Aipysurus_eydouxii,110,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",317,767,0.6,"Gopalakrishnakone, P., Wollberg, M. and Kochva, E., 1994. The venom apparatus of sea snakes. Sea snake toxinology, pp.37-65.",max.vol.from.Limpus.1978a.taken.from.Sea.Snake.Toxinology. average.vol.from.Limpus.1978.Limpus.1978.Tamiya.and.Puffer.1974.Minton.1983.Heatwole.1999,aquatic,no,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,7.85,iv,mouse,Mackessy and Tu 1993,"Mackessy, S.P. and Tu, A.T., 1993. Biology of the sea snakes and biochemistry of their venoms. Toxin-related Diseases: Poisons Originating from Plants, Animals and Spoilage. New Delhi: Oxford & IBH Publishing Co, pp.305-51.",0,4,0,0,0,94,0,yes,"Allen, W.L., Baddeley, R., Scott-Samuel, N.E. and Cuthill, I.C., 2013. The evolution and function of pattern diversity in snakes. Behavioral Ecology, 24(5), pp.1237-1250..and.Godek",12.9
Aipysurus_laevis,200,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1338,442.2,10.5,"Gopalakrishnakone, P., Wollberg, M. and Kochva, E., 1994. The venom apparatus of sea snakes. Sea snake toxinology, pp.37-65.",max.vol.from.Limpus.1978a.taken.from.Sea.Snake.Toxinology. average.vol.from.Limpus.1978.Limpus.1978.Tamiya.and.Puffer.1974.Minton.1983.Heatwole.1999,aquatic,yes,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,0.264,sc,mouse,Mackessy and Tu 1993,"Mackessy, S.P. and Tu, A.T., 1993. Biology of the sea snakes and biochemistry of their venoms. Toxin-related Diseases: Poisons Originating from Plants, Animals and Spoilage. New Delhi: Oxford & IBH Publishing Co, pp.305-51.",89,11,0,0,0,0,0,no,"Voris, H.K. and Voris, H.H., 1983. Feeding strategies in marine snakes: an analysis of evolutionary, morphological, behavioral and ecological relationships. American Zoologist, 23(2), pp.411-425.",NA
Aipysurus_laevis,200,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1338,442.2,10.5,"Gopalakrishnakone, P., Wollberg, M. and Kochva, E., 1994. The venom apparatus of sea snakes. Sea snake toxinology, pp.37-65.",max.vol.from.Limpus.1978a.taken.from.Sea.Snake.Toxinology. average.vol.from.Limpus.1978.Limpus.1978.Tamiya.and.Puffer.1974.Minton.1983.Heatwole.1999,aquatic,yes,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,0.18,iv,mouse,Mackessy and Tu 1993,"Mackessy, S.P. and Tu, A.T., 1993. Biology of the sea snakes and biochemistry of their venoms. Toxin-related Diseases: Poisons Originating from Plants, Animals and Spoilage. New Delhi: Oxford & IBH Publishing Co, pp.305-51.",89,11,0,0,0,0,0,no,"Voris, H.K. and Voris, H.H., 1983. Feeding strategies in marine snakes: an analysis of evolutionary, morphological, behavioral and ecological relationships. American Zoologist, 23(2), pp.411-425.",NA
Aipysurus_laevis,200,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1338,442.2,10.5,"Gopalakrishnakone, P., Wollberg, M. and Kochva, E., 1994. The venom apparatus of sea snakes. Sea snake toxinology, pp.37-65.",max.vol.from.Limpus.1978a.taken.from.Sea.Snake.Toxinology. average.vol.from.Limpus.1978.Limpus.1978.Tamiya.and.Puffer.1974.Minton.1983.Heatwole.1999,aquatic,yes,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,0.09,im,mouse,Mackessy and Tu 1993,"Mackessy, S.P. and Tu, A.T., 1993. Biology of the sea snakes and biochemistry of their venoms. Toxin-related Diseases: Poisons Originating from Plants, Animals and Spoilage. New Delhi: Oxford & IBH Publishing Co, pp.305-51.",89,11,0,0,0,0,0,no,"Voris, H.K. and Voris, H.H., 1983. Feeding strategies in marine snakes: an analysis of evolutionary, morphological, behavioral and ecological relationships. American Zoologist, 23(2), pp.411-425.",NA
Aipysurus_laevis,200,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1338,86.1,10.5,"Gopalakrishnakone, P., Wollberg, M. and Kochva, E., 1994. The venom apparatus of sea snakes. Sea snake toxinology, pp.37-65.",max.vol.from.Limpus.1978a.taken.from.Sea.Snake.Toxinology. average.vol.from.Limpus.1978.Limpus.1978.Tamiya.and.Puffer.1974.Minton.1983.Heatwole.1999,aquatic,yes,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,0.1,im,fish,Berman 1983 (Taken from Sea Snake Toxinology),"Gopalakrishnakone, P., Wollberg, M. and Kochva, E., 1994. The venom apparatus of sea snakes. Sea snake toxinology, pp.37-65.",89,11,0,0,0,0,0,no,"Voris, H.K. and Voris, H.H., 1983. Feeding strategies in marine snakes: an analysis of evolutionary, morphological, behavioral and ecological relationships. American Zoologist, 23(2), pp.411-425.",NA
Alsophis_portoricensis,114,"de Queiroz, A. & RodrÍguez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006).",179,296.6,5.9,"Weinstein, S.A., Warrell, D.A., White, J. and Keyler, D.E., 2011. ñVenomous Bites from Non-Venomous Snakes: A Critical Analysis of Risk and Management of ñColubrid Snake Bites. Elsevier.",average.vol.from Venomous bites from non-venmous snakes,terrestrial,yes,"de Queiroz, A. & RodrÍguez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006).",1,2.1,ip,mouse,Weldon and Mackassy (from table in Vounous bites from non-venoumous snakes),"Weinstein, S.A., Warrell, D.A., White, J. and Keyler, D.E., 2011. ñVenomous Bites from Non-Venomous Snakes: A Critical Analysis of Risk and Management of ñColubrid Snake Bites. Elsevier.",0,0,8.7,89.3,0,0,0,no,"RodrÕguez-Robles, J.A. and Leal, M., 1993. Effects of prey type on the feeding behavior of Alsophis portoricensis (Serpentes: Colubridae). Journal of Herpetology, pp.163-168.; Henderson, R.W. and Sajdak, R.A., 1996. Diets of West Indian racers (Colubridae: Alsophis): composition and biogeographic implications. Contributions to West Indian herpetology: a tribute to Albert Schwartz, pp.327-338.",NA
Alsophis_portoricensis,114,"de Queiroz, A. & RodrÍguez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006).",179,32.3,5.9,"Weinstein, S.A., Warrell, D.A., White, J. and Keyler, D.E., 2011. ñVenomous Bites from Non-Venomous Snakes: A Critical Analysis of Risk and Management of ñColubrid Snake Bites. Elsevier.",average.vol.from Venomous bites from non-venmous snakes,terrestrial,yes,"de Queiroz, A. & RodrÍguez_Robles, J. A. Historical contingency and animal diets: the origins of egg eating in snakes. The American Naturalist 167, 684-694 (2006).",1,3.8,ip,lizard,Weldon and Mackassy (from table in Vounous bites from non-venoumous snakes),"Weinstein, S.A., Warrell, D.A., White, J. and Keyler, D.E., 2011. ñVenomous Bites from Non-Venomous Snakes: A Critical Analysis of Risk and Management of ñColubrid Snake Bites. Elsevier.",0,0,8.7,89.3,0,0,0,no,"RodrÕguez-Robles, J.A. and Leal, M., 1993. Effects of prey type on the feeding behavior of Alsophis portoricensis (Serpentes: Colubridae). Journal of Herpetology, pp.163-168.; Henderson, R.W. and Sajdak, R.A., 1996. Diets of West Indian racers (Colubridae: Alsophis): composition and biogeographic implications. Contributions to West Indian herpetology: a tribute to Albert Schwartz, pp.327-338.",NA
Astrotia_stokesii,200,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1338,400.1,31.3,"Gopalakrishnakone, P., Wollberg, M. and Kochva, E., 1994. The venom apparatus of sea snakes. Sea snake toxinology, pp.37-65.",average.vol.from.Limpus.1978.taken.from.Sea.Snake.Toxinology.vol.taken.from.2.individuals.andfrom.Limpus.1978,aquatic,no,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,0.26,iv,mouse,Mackessy and Tu 1993,"Mackessy, S.P. and Tu, A.T., 1993. Biology of the sea snakes and biochemistry of their venoms. Toxin-related Diseases: Poisons Originating from Plants, Animals and Spoilage. New Delhi: Oxford & IBH Publishing Co, pp.305-51.",100,0,0,0,0,0,0,no,"Voris, H.K. and Voris, H.H., 1983. Feeding strategies in marine snakes: an analysis of evolutionary, morphological, behavioral and ecological relationships. American Zoologist, 23(2), pp.411-425.",NA
Astrotia_stokesii,200,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1338,400.1,31.3,"Gopalakrishnakone, P., Wollberg, M. and Kochva, E., 1994. The venom apparatus of sea snakes. Sea snake toxinology, pp.37-65.",average.vol.from.Limpus.1978.taken.from.Sea.Snake.Toxinology.vol.taken.from.2.individuals.andfrom.Limpus.1978,aquatic,no,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,0.3,sc,mouse,Mackessy and Tu 1993,"Mackessy, S.P. and Tu, A.T., 1993. Biology of the sea snakes and biochemistry of their venoms. Toxin-related Diseases: Poisons Originating from Plants, Animals and Spoilage. New Delhi: Oxford & IBH Publishing Co, pp.305-51.",100,0,0,0,0,0,0,no,"Voris, H.K. and Voris, H.H., 1983. Feeding strategies in marine snakes: an analysis of evolutionary, morphological, behavioral and ecological relationships. American Zoologist, 23(2), pp.411-425.",NA
Astrotia_stokesii,200,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1338,400.1,31.3,"Gopalakrishnakone, P., Wollberg, M. and Kochva, E., 1994. The venom apparatus of sea snakes. Sea snake toxinology, pp.37-65.",average.vol.from.Limpus.1978.taken.from.Sea.Snake.Toxinology.vol.taken.from.2.individuals.andfrom.Limpus.1978,aquatic,no,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,3.5,im,mouse,Mackessy and Tu 1993,"Mackessy, S.P. and Tu, A.T., 1993. Biology of the sea snakes and biochemistry of their venoms. Toxin-related Diseases: Poisons Originating from Plants, Animals and Spoilage. New Delhi: Oxford & IBH Publishing Co, pp.305-51.",100,0,0,0,0,0,0,no,"Voris, H.K. and Voris, H.H., 1983. Feeding strategies in marine snakes: an analysis of evolutionary, morphological, behavioral and ecological relationships. American Zoologist, 23(2), pp.411-425.",NA
Astrotia_stokesii,200,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",1338,0,31.3,"Gopalakrishnakone, P., Wollberg, M. and Kochva, E., 1994. The venom apparatus of sea snakes. Sea snake toxinology, pp.37-65.",average.vol.from.Limpus.1978.taken.from.Sea.Snake.Toxinology.vol.taken.from.2.individuals.andfrom.Limpus.1978,aquatic,no,"Navy, U. Poisonous snakes of the world. US Govt New York: Dover Publications Inc, 203-206 (1991). ",3,0.11,im,fish,Berman 1983 (Taken from Sea Snake Toxinology),"Gopalakrishnakone, P., Wollberg, M. and Kochva, E., 1994. The venom apparatus of sea snakes. Sea snake toxinology, pp.37-65.",100,0,0,0,0,0,0,no,"Voris, H.K. and Voris, H.H., 1983. Feeding strategies in marine snakes: an analysis of evolutionary, morphological, behavioral and ecological relationships. American Zoologist, 23(2), pp.411-425.",NA
Atractaspis_bibronii,63,"Branch, W. R. Field guide to snakes and other reptiles of southern Africa.  (Struik, 1998). ",41,240.8,1,"Branch, W.R., 1981. Venom yields from three species of side-biting snakes (Genus Atractaspis, Colubridae). Toxicon, 19(2), pp.271-277.",Two other species are not included as they were dropped from phylo yeilds.from.Branch.et.al.1981.Venom yields from three species of side-biting snakes.link.online.database,terrestrial,no,"Spawls, S., Branch, B. & Branch, W. R. The dangerous snakes of Africa: natural history, species directory, venoms, and snakebite.  (Ralph Curtis Pub, 1995). ",1,0.06,iv,mouse,"(Warrell, D.A., 1985. The burrowing asps genus Atractaspis, a tropical group of venomous snakes: Kochva, E., Wollberg, Z. and Golani, I.(Department of Zoology, Tel Aviv University, Israel). Toxicon, 23(4), p.623.) http://www.chemcas.com/msds/cas/msds141/2751-05-5_v6.asp","Warrell, D.A., 1985. Warrell, D.A., 1985. The burrowing asps genus Atractaspis, a tropical group of venomous snakes: Kochva, E., Wollberg, Z. and Golani, I.(Department of Zoology, Tel Aviv University, Israel). Toxicon, 23(4), p.623.: Kochva, E., Wollberg, Z. and Golani, I.(Department of Zoology, Tel Aviv University, Israel). Toxicon, 23(4), p.623.",0,0,2.8,75.2,0,1,21.9,yes,"Shine, R., Branch, W.R., Harlow, P.S., Webb, J.K. and Shine, T., 2006. Biology of burrowing asps (Atractaspididae) from Southern Africa. Copeia, 2006(1), pp.103-115.",23.52
Atractaspis_microlepidota,107,"Boback, S. M. & Guyer, C. A test of reproductive power in snakes. Ecology 89, 1428-1435 (2008)",182,296,8,"Minton S.A. (1974) Venom Diseases. Ed. Thomas C.C., Springfield, Illinois.","Warrell, D.A., 1985. Warrell, D.A., 1985. The burrowing asps genus Atractaspis, a tropical group of venomous snakes: Kochva, E., Wollberg, Z. and Golani, I.(Department of Zoology, Tel Aviv University, Israel). Toxicon, 23(4), p.623.: Kochva, E., Wollberg, Z. and Golani, I.(Department of Zoology, Tel Aviv University, Israel). Toxicon, 23(4), p.623.",terrestrial,no,"Spawls, S., Branch, B. & Branch, W. R. The dangerous snakes of Africa: natural history, species directory, venoms, and snakebite.  (Ralph Curtis Pub, 1995). ",1,0.06,iv,mouse,"Warrell, D.A., 1985. The burrowing asps genus Atractaspis, a tropical group of venomous snakes: Kochva, E., Wollberg, Z. and Golani, I.(Department of Zoology, Tel Aviv University, Israel). Toxicon, 23(4), p.623.","Warrell, D.A., 1985. Warrell, D.A., 1985. The burrowing asps genus Atractaspis, a tropical group of venomous snakes: Kochva, E., Wollberg, Z. and Golani, I.(Department of Zoology, Tel Aviv University, Israel). Toxicon, 23(4), p.623.: Kochva, E., Wollberg, Z. and Golani, I.(Department of Zoology, Tel Aviv University, Israel). Toxicon, 23(4), p.623.",0,0,0,100,0,0,0,no,"Shine, R., Branch, W.R., Harlow, P.S., Webb, J.K. and Shine, T., 2006. Biology of burrowing asps (Atractaspididae) from Southern Africa. Copeia, 2006(1), pp.103-115.",6
